"id","category","subtype","name","path","description","notes"
"4.5","action","function","getPerfilUsuario","src/server/actions/perfil.ts:getPerfilUsuario","Retorna perfil do usuário autenticado","Usado por forms e páginas de perfil"
"4.6","action","function","salvarPerfil","src/server/actions/perfil.ts:salvarPerfil","Valida e insere/atualiza perfil; primeiro usuário vira admin_p5","Revalida / e define role"
"4.7","action","function","listarUsuarios","src/server/actions/perfil.ts:listarUsuarios","Listagem administrativa de usuários (filtro por RE)","Somente admins"
"4.8","action","function","atualizarRole","src/server/actions/perfil.ts:atualizarRole","Atualiza role de usuário; garante exclusividade admin_p5","Rebaixa admin_p5 anterior se necessário"
"4.9","action","function","enviarEmail","src/lib/email.ts:enviarEmail","Wrapper para Resend; envia e-mails de texto simples","Retorna success boolean"
"4.10","action","function","getNotificacoesNaoLidas","src/server/actions/notificacoes.ts:getNotificacoesNaoLidas","Busca notificações não lidas para usuário","Ordena por createdAt desc"
"4.11","action","function","marcarComoLidas","src/server/actions/notificacoes.ts:marcarComoLidas","Marca notificações como lidas para usuario autenticado",""
"4.12","action","function","gerarDadosRelatorio","src/server/actions/relatorio.ts:gerarDadosRelatorio","Gera dados para relatórios (Realizado/Cancelado) entre datas","Somente admins"
"4.13","action","function","cancelarPeriodo","src/server/actions/cancelamento-massa.ts:cancelarPeriodo","Cancela período de agendamentos em massa; cria bloqueios","Usado por admins"
"4.14","action","function","getBloqueiosAtivos","src/server/actions/cancelamento-massa.ts:getBloqueiosAtivos","Retorna bloqueios ativos",""
"4.15","action","function","removerBloqueio","src/server/actions/cancelamento-massa.ts:removerBloqueio","Remove bloqueio por id","Somente admins"
"4.16","action","function","getHorariosDisponiveis","src/server/actions/horarios.ts:getHorariosDisponiveis","Calcula slots disponíveis para data fornecida","Considera bloqueios e agendamentos existentes"
"4.17","action","function","getDashboardStats","src/server/actions/dashboard.ts:getDashboardStats","Estatísticas do painel (hoje, mês, cancelados)","Usado em painel admin"
"4.18","action","function","getAgendamentosHoje","src/server/actions/dashboard.ts:getAgendamentosHoje","Agendamentos do dia ordenados","Atualiza visualização 'Próximas Trocas — Hoje'"
"4.19","action","function","confirmarPresenca","src/server/actions/dashboard.ts:confirmarPresenca","Marca agendamento como 'Realizado'","Envia revalidação e possíveis notificações"
"5.1","page","route","/ (Home)","src/app/page.tsx","Landing page / entrada para login e registro",""
"5.2","page","route","/dashboard","src/app/dashboard/page.tsx","Painel principal (varia por role)",""
"5.3","page","route","/dashboard/agenda","src/app/dashboard/agenda/page.tsx","Histórico de agendamentos do usuário",""
"5.4","page","route","/dashboard/agendar","src/app/dashboard/agendar/page.tsx; form.tsx","Formulário de agendamento (wizard)","Slots 30min; bloqueia fins de semana"
"5.5","page","route","/dashboard/admin/agendamentos","src/app/dashboard/admin/agendamentos/page.tsx","Painel geral de agendamentos (admin)","Cards de estatísticas"
"5.6","page","route","/dashboard/admin/usuarios","src/app/dashboard/admin/usuarios/page.tsx","Gestão de usuários e roles",""
"5.7","page","route","/dashboard/perfil","src/app/dashboard/perfil/page.tsx; form.tsx","Tela de completar/editar perfil","SalvarPerfil cria registro se não existir"
"6.1","component","ui","Sidebar","src/components/dashboard/sidebar.tsx","Menu lateral do dashboard","Export: Sidebar"
"6.2","component","ui","Header","src/components/dashboard/header.tsx","Cabeçalho do dashboard com notificações","Export: Header"
"6.3","component","ui","NotificationBell","src/components/dashboard/notification-bell.tsx","Componente de notificações com badge","Export: NotificationBell"
"6.4","component","ui","Calendar","src/components/ui/calendar.tsx","UI do calendário (bloqueios, seleção de data)","Export: Calendar, CalendarDayButton"
"6.5","component","ui","DialogEncaixe","src/components/agenda/dialog-encaixe.tsx","Popup para registro de encaixe (admin)","Export: DialogEncaixe"
"6.6","component","ui","DialogRelatorio","src/components/dashboard/admin/dialog-relatorio.tsx","Diálogo para geração/exportação de relatório","Export: DialogRelatorio"
"6.7","component","ui","AgendamentoAcoes","src/components/agenda/agendamento-acoes.tsx","Ações por agendamento (Alterar, Cancelar) com confirmação","Export: AgendamentoAcoes"
"6.8","component","ui","ConfirmarPresencaBtn","src/components/dashboard/confirmar-presenca-btn.tsx","Botões para confirmar presença ou marcar não comparecimento","Export: ConfirmarPresencaBtn"
"6.9","component","ui","ListaBloqueios","src/components/dashboard/admin/lista-bloqueios.tsx","Lista de bloqueios administrativos com ação de remoção","Export: ListaBloqueios"
"6.10","component","ui","MobileNav","src/components/dashboard/mobile-nav.tsx","Navegação móvel (Sheet) com UserButton do Clerk","Export: MobileNav"
"6.11","component","ui","UserSearch","src/components/dashboard/admin/user-search.tsx","Campo de busca por RE no painel de usuários (admin)","Export: UserSearch"
"6.12","component","ui","DialogCancelarPeriodo","src/components/dashboard/admin/dialog-cancelar-periodo.tsx","Diálogo para bloquear/cancelar período; chama cancelarPeriodo","Export: DialogCancelarPeriodo"
"6.13","component","ui","RadioGroup","src/components/ui/radio-group.tsx","Componente de radio group usado em formulários (admin cancelamento de período)","Export: RadioGroup, RadioGroupItem"
"6.14","component","ui","Tabs","src/components/ui/tabs.tsx","Componente de abas reutilizável","Export: Tabs variants"
"6.15","component","ui","AlertDialog","src/components/ui/alert-dialog.tsx","Componente modal de confirmação/alerta usado em ações críticas","Export: AlertDialog components"
"6.16","component","ui","RoleForm","src/app/dashboard/admin/usuarios/role-form.tsx","Form para alterar role de usuário (admin)","Export: UsuarioRoleForm"
"6.17","component","ui","Popover","src/components/ui/popover.tsx","Componente popover reutilizável (calendário, etc)","Export: Popover components"
"6.18","component","ui","Select","src/components/ui/select.tsx","Componente select estilizado usado em forms","Export: Select, SelectTrigger, SelectContent"
"6.19","component","ui","Form","src/components/ui/form.tsx","Wrapper/estrutura para formulários (Form, FormField, etc)","Export: Form utilities"
"6.20","component","ui","Label","src/components/ui/label.tsx","Componente Label usado em formulários","Export: Label"
"6.21","component","ui","Loading","src/app/dashboard/loading.tsx","Componente de loading para páginas do dashboard","Export: default Loading"
"6.22","component","ui","Badge","src/components/ui/badge.tsx","Componente Badge usado para status (Agendado/Cancelado/Realizado)","Export: Badge variants"
"6.23","component","ui","Avatar","src/components/ui/avatar.tsx","Componente de avatar de usuário","Export: Avatar"
"6.24","component","ui","DropdownMenu","src/components/ui/dropdown-menu.tsx","Componente de menu dropdown reutilizável","Export: DropdownMenu"
"6.25","component","ui","Sheet","src/components/ui/sheet.tsx","Componente Sheet (drawer) usado no MobileNav","Export: Sheet components"
"6.26","component","ui","Dialog","src/components/ui/dialog.tsx","Componente base para diálogos/modais","Export: Dialog components"
"6.27","component","ui","Table","src/components/ui/table.tsx","Componentes de tabela reutilizáveis (Table, TableRow, TableCell...)","Export: Table components"
"6.28","component","ui","Input","src/components/ui/input.tsx","Componente Input estilizado","Export: Input"
"6.29","component","ui","Card","src/components/ui/card.tsx","Componente Card usado em painéis e listas","Export: Card, CardContent, CardHeader"
"6.30","component","ui","Button","src/components/ui/button.tsx","Componente Button e variantes (primary, destructive, ghost)","Export: Button, buttonVariants"
"6.31","component","util","Utils","src/lib/utils.ts","Funções utilitárias (cn, classNames)","Export: cn"
"6.32","component","ui","PopoverSelect","src/components/ui/popover.tsx; src/components/ui/select.tsx","Uso combinado de popover+select em formulários e calendário","notes: UI primitives often used together"
"7.1","job","cron","Relatório Passado (weekly)","src/app/api/cron/relatorio-passado/route.ts","Gera relatório da semana passada; cria notificações e envia e-mail","Agendado externamente (Vercel Cron)"
"7.2","job","cron","Relatório Futuro (weekly)","src/app/api/cron/relatorio-futuro/route.ts","Gera previsão de agendamentos da próxima semana; notifica admins","Proteção por CRON_SECRET sugerida"
"8.1","meta","script","dev/build/start","package.json:scripts","Scripts padrão Next.js (dev, build, start)",""
"8.2","meta","dependency","@clerk/nextjs","package.json","Auth provider (versão ^6.38.1)",""
"8.3","meta","dependency","drizzle-orm / drizzle-kit","package.json; drizzle.config.ts","ORM e gerador de migrations",""
"8.4","meta","dependency","@libsql/client (Turso)","package.json","Cliente libsql para Turso",""
"9.1","migration","sql","0000_careful_jigsaw.sql","src/db/migrations/0000_careful_jigsaw.sql","Dump/initial migration presente","Ver conteúdo da migration para detalhes"
"9.2","migration","meta","migrations meta","src/db/migrations/meta/*","Arquivos meta da geração de migrations (snapshot/journal)",""
